piece,long,lat
1,113.66514554,-24.89589114
1,113.64976381,-24.90523499
1,113.64444355,-24.87806474
1,113.70688922,-24.85070661
1,113.61753338,-24.85864476
1,113.63272307,-24.79744404
1,113.62324208,-24.74603383
1,113.44357907,-24.53645601
1,113.40482822,-24.47164642
1,113.4061961,-24.30306524
1,113.39016515,-24.22399501
1,113.40911485,-24.22350503
1,113.44334298,-24.18169387
1,113.42215117,-24.04293301
1,113.45870026,-24.01364246
1,113.47030838,-23.89856115
1,113.5138272,-23.84732997
1,113.53190627,-23.7748393
1,113.56727616,-23.75222904
1,113.61321286,-23.63090796
1,113.75325968,-23.52823629
1,113.77972909,-23.47059501
1,113.77693798,-23.37893397
1,113.79444698,-23.29605184
1,113.76047494,-23.12130004
1,113.81249517,-23.08276902
1,113.82942598,-23.03090803
1,113.82618493,-22.95601596
1,113.75525411,-22.75622397
1,113.70939331,-22.71528384
1,113.67049322,-22.71713423
1,113.68642285,-22.66441357
1,113.66826246,-22.62872339
1,113.67361216,-22.59686312
1,113.65408198,-22.57877311
1,113.66530198,-22.55012298
1,113.7108913,-22.5220521
1,113.70792102,-22.49670199
1,113.73774083,-22.47103098
1,113.74938,-22.40842104
1,113.83022867,-22.28307872
1,113.93359594,-21.97322488
1,114.02392237,-21.85115269
1,114.16121472,-21.78621079
1,114.19101376,-21.81458059
1,114.14887341,-21.86665156
1,114.13806282,-21.95782243
1,114.0802657,-22.15413499
1,114.08475654,-22.19127533
1,114.13300717,-22.26158401
1,114.11581789,-22.33115604
1,114.14949805,-22.30146296
1,114.17846784,-22.30537418
1,114.17821792,-22.35344226
1,114.12209866,-22.41580634
1,114.12179891,-22.47266799
1,114.1385897,-22.49753908
1,114.12520986,-22.51164934
1,114.14390982,-22.50669915
1,114.14381018,-22.53805935
1,114.15103997,-22.51709915
1,114.16180026,-22.53404924
1,114.18880029,-22.52080901
1,114.21861005,-22.49718847
1,114.22563011,-22.45736799
1,114.28236954,-22.43378643
1,114.31743974,-22.44061696
1,114.32279014,-22.50370702
1,114.32404006,-22.47956703
1,114.34032038,-22.51630674
1,114.34503014,-22.49020673
1,114.37708019,-22.49814638
1,114.36458003,-22.49034696
1,114.38377011,-22.49078645
1,114.37261005,-22.48302662
1,114.38608006,-22.4846165
1,114.38355997,-22.46475699
1,114.40383011,-22.46940702
1,114.38030989,-22.44127697
1,114.40529968,-22.43894678
1,114.38604,-22.42661698
1,114.40787962,-22.42923678
1,114.39236016,-22.421547
1,114.39336941,-22.39096694
1,114.4233295,-22.3957367
1,114.39640947,-22.38295696
1,114.40128979,-22.35959718
1,114.41701958,-22.36352691
1,114.4069999,-22.35091698
1,114.45163955,-22.36257642
1,114.43089955,-22.35172674
1,114.44327952,-22.34293654
1,114.40872,-22.33116702
1,114.4264399,-22.31978697
1,114.42305939,-22.3005969
1,114.43967936,-22.303997
1,114.43362013,-22.2949668
1,114.46087968,-22.32929638
1,114.44901949,-22.30005654
1,114.46138979,-22.29261624
1,114.42975984,-22.27543596
1,114.46093008,-22.27189598
1,114.4503799,-22.259655
1,114.47256995,-22.26440602
1,114.44397011,-22.24204498
1,114.48187021,-22.25149659
1,114.45221997,-22.2350453
1,114.45320016,-22.20796799
1,114.50046061,-22.2204979
1,114.47175997,-22.19036796
1,114.49018006,-22.18597803
1,114.45566003,-22.159548
1,114.48946006,-22.15764701
1,114.50799037,-22.18350717
1,114.50085011,-22.15031696
1,114.51489984,-22.15664603
1,114.50134006,-22.12988599
1,114.51938925,-22.12323502
1,114.52632947,-22.14157564
1,114.51805885,-22.10585499
1,114.53573917,-22.07876399
1,114.52023901,-22.082714
1,114.51733885,-22.06646397
1,114.55159894,-22.06646297
1,114.55897789,-22.020301
1,114.57435853,-22.04366184
1,114.57059795,-22.00178096
1,114.58502842,-21.99688041
1,114.58937843,-22.01948091
1,114.60135814,-21.98772
1,114.60590819,-22.0068604
1,114.61293792,-21.96152
1,114.62614774,-21.97357956
1,114.61521814,-21.94762896
1,114.63712739,-21.94457885
1,114.62149693,-21.935879
1,114.66429696,-21.9105377
1,114.64759693,-21.91992814
1,114.64250688,-21.90932803
1,114.64807606,-21.84451703
1,114.68613635,-21.83294647
1,114.68524678,-21.86782687
1,114.69764662,-21.84308648
1,114.68335645,-21.82899646
1,114.69879613,-21.81372596
1,114.77839606,-21.79054602
1,114.91425613,-21.68834399
1,114.9731359,-21.66964299
1,114.98837616,-21.67399297
1,114.98570184,-21.67500872
1,115.04039616,-21.69221247
1,115.03033597,-21.68558253
1,115.05595606,-21.68605232
1,115.10895574,-21.63174141
1,115.14218614,-21.65904162
1,115.13220589,-21.64485204
1,115.160616,-21.62621143
1,115.17658595,-21.63661165
1,115.161576,-21.62507184
1,115.17852598,-21.61133101
1,115.21013581,-21.62789163
1,115.18686576,-21.61242127
1,115.21104589,-21.597741
1,115.21985616,-21.61621097
1,115.24231693,-21.57680098
1,115.24594717,-21.59589096
1,115.3272175,-21.58030016
1,115.34162758,-21.59599023
1,115.33116816,-21.57598998
1,115.38168912,-21.54814002
1,115.39911888,-21.55605939
1,115.41415894,-21.53468852
1,115.38116893,-21.54328902
1,115.41290902,-21.52479798
1,115.4333383,-21.52918808
1,115.4281392,-21.54536865
1,115.43659846,-21.53018808
1,115.44652909,-21.54378825
1,115.43816845,-21.52960803
1,115.45731648,-21.5084773
1,115.4586679,-21.52755764
1,115.44349824,-21.53284803
1,115.45568963,-21.54847814
1,115.44506819,-21.53283804
1,115.46386957,-21.54722795
1,115.4677471,-21.51473723
1,115.47557965,-21.54718773
1,115.47727846,-21.53003742
1,115.49242979,-21.54580739
1,115.50825936,-21.539537
1,115.49435285,-21.51986051
1,115.49212883,-21.53061712
1,115.47575712,-21.50519697
1,115.49619792,-21.51093672
1,115.49464059,-21.51846882
1,115.51069798,-21.50952651
1,115.51086864,-21.52484676
1,115.52030819,-21.50917632
1,115.4951575,-21.50145657
1,115.50895811,-21.49337601
1,115.49274694,-21.48576598
1,115.51647744,-21.48347619
1,115.52826672,-21.46478588
1,115.51528726,-21.48120611
1,115.52635654,-21.45946589
1,115.5062671,-21.47440616
1,115.5097159,-21.45793598
1,115.54925542,-21.43472553
1,115.56544678,-21.4572555
1,115.57269539,-21.42754524
1,115.56215568,-21.43590535
