POA_CODE,POA_NAME,SQKM,id,long_c,lat_c
2071,2071,7.89276437533865,84,151.16705160363247,-33.76293688263874
2072,2072,3.77825236667504,85,151.15359336185682,-33.75561193618132
2073,2073,10.2514900194179,86,151.1365805844291,-33.75165728594758
2074,2074,21.9728379015464,87,151.13855876034467,-33.71161943537289
2075,2075,17.7766491305521,88,151.17079006592658,-33.720915225577144
2076,2076,15.9373472200167,89,151.11573567274257,-33.716372238427226
2077,2077,21.9520022560382,90,151.1004556008006,-33.67829771494425
2079,2079,5.21625135390585,91,151.1148227225903,-33.66418220856529
2080,2080,17.1041350474255,92,151.13596852743197,-33.656585241711035
2081,2081,37.1144718424926,93,151.1930806321901,-33.59497279485286
2082,2082,148.867015889207,94,151.08068269215002,-33.514416854237396
2083,2083,40.5276158994929,95,151.16752770861453,-33.56871285632075
